0001001EM1_201407.csv,1,BT3801(002L)01.00.00,,‰ñ˜H1R,‰ñ˜H1T,‰ñ˜H2R,‰ñ˜H2T,‰ñ˜H3R,‰ñ˜H3T,‰ñ˜H4R,‰ñ˜H4T,‰ñ˜H5R,‰ñ˜H5T,‰ñ˜H6R,‰ñ˜H6T,‰ñ˜H7R,‰ñ˜H7T,‰ñ˜H8R,‰ñ˜H8T,‰ñ˜H9R,‰ñ˜H9T,‰ñ˜H10R,‰ñ˜H10T,‰ñ˜H11R,‰ñ˜H11T,‰ñ˜H12R,‰ñ˜H12T,‰ñ˜H13R,‰ñ˜H13T,‰ñ˜H14R,‰ñ˜H14T,‰ñ˜H15R,‰ñ˜H15T,‰ñ˜H16R,‰ñ˜H16T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
”N,ŒŽ,“ú,Žž,kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 1,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 2,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 3,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 4,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 5,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 6,   1.05,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 7,   2.43,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 8,   4.33,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1, 9,   6.38,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,10,   9.20,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,11,   8.46,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,12,   8.32,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,13,   9.32,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,14,   9.88,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,15,   9.19,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,16,   8.07,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,17,   5.53,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,18,   2.02,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,19,   0.49,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,20,   0.01,   0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,21,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,22,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,23,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 1,24,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 1,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 2,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 3,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 4,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 5,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 6,   0.55,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 7,   2.65,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 8,   6.08,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2, 9,   8.44,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,10,   7.38,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,11,   8.49,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,12,   6.31,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,13,   6.77,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,14,   5.81,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,15,   3.52,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,16,   3.63,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,17,   2.99,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,18,   1.71,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,19,   0.39,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,20,   0.00,   0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,21,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,22,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,23,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 2,24,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 1,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 2,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 3,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 4,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 5,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 6,   0.03,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 7,   0.27,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 8,   1.70,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3, 9,   2.46,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,10,   1.69,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,11,   3.20,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,12,   2.43,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,13,   2.61,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,14,   2.06,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,15,   1.98,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,16,   1.98,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,17,   0.86,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,18,   0.62,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,19,   0.04,   0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,20,   0.00,   0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,21,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,22,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,23,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 3,24,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 4, 1,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 4, 2,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 4, 3,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 7, 4, 4,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
